,id,label,comments
0,286514389,Bug,0
1,286514389,NPC,0
2,286514389,Vehicle,0
3,286514389,Z-levels,0
4,285666680,Bug,0
5,284308179,Bug,0
6,284308179,NPC,0
7,284299542,Bug,3
8,284299542,Confirmed,3
9,284299542,Information / Interface,3
10,284086797,Bug,3
11,284086797,Confirmed,3
12,284086797,Priority,3
13,282559896,Bug,1
14,282559896,Mapgen,1
15,282452967,Bug,1
16,282452967,Gunmod / Toolmod,1
17,282004030,Bug,3
18,282004030,Confirmation Needed,3
19,281827173,Bug,1
20,281827173,Confirmed,1
21,281827173,Duplicate,1
22,281827173,Mapgen,1
23,280807505,Bug,0
24,280807505,Information / Interface,0
25,280584835,Bug,1
26,280584835,Confirmed,1
27,280584835,Information / Interface,1
28,280584835,Inventory / AIM,1
29,279978748,Bug,2
30,279978748,Confirmation Needed,2
31,279978748,Information / Interface,2
32,279978748,Inventory / AIM,2
33,279597913,Bug,1
34,279597913,Build,1
35,279597913,Confirmed,1
36,278746300,Bug,2
37,278746300,Information / Interface,2
38,276974789,Bug,0
39,276974789,Confirmed,0
40,276974789,Easy-fix,0
41,276974789,Gunmod / Toolmod,0
42,276974789,JSON,0
43,275546513,Bug,1
44,275546513,Crafting / Construction,1
45,275305733,Bug,1
46,275305733,Information / Interface,1
47,275305733,JSON,1
48,275140154,Bug,2
49,275087353,Bug,3
50,275087353,Confirmation Needed,3
51,275087353,Exploit,3
52,272379972,Bug,3
53,272379972,Confirmed,3
54,272379972,Mapgen,3
55,271456176,Bug,0
56,271456176,Confirmed,0
57,271456176,Crafting / Construction,0
58,271456176,Information / Interface,0
59,271328392,Bug,8
60,271328392,Confirmed,8
61,271328392,Mapgen,8
62,271306614,Bug,6
63,271306614,Confirmation Needed,6
64,271306614,Information / Interface,6
65,271306614,OSX,6
66,271306614,Translation,6
67,270485775,Bug,4
68,270485775,Confirmation Needed,4
69,270485775,Inventory / AIM,4
70,270158865,Bug,1
71,270158865,Crafting / Construction,1
72,270158865,JSON,1
73,270111860,Bug,0
74,270111860,Confirmation Needed,0
75,270111860,Information / Interface,0
76,270111860,NPC,0
77,269721315,Bug,9
78,269721315,Spawn,9
79,269562994,Bug,2
80,269562994,Confirmed,2
81,269562994,Crafting / Construction,2
82,269369114,Bug,4
83,269333331,Bug,1
84,269333331,Confirmed,1
85,269333331,Duplicate,1
86,269333331,Information / Interface,1
87,269333331,Monsters,1
88,269328833,Bug,0
89,269262550,Bug,1
90,269262550,Confirmed,1
91,269262550,Crafting / Construction,1
92,269262550,Vehicle,1
93,268944667,Bug,1
94,268944667,Easy-fix,1
95,268944667,Mutations,1
96,268395215,Bug,1
97,268395215,Crafting / Construction,1
98,268395215,Duplicate,1
99,267896736,Bug,1
100,267635505,Bug,6
101,267635505,Build,6
102,267565506,Bug,4
103,267450849,Bug,2
104,267450849,Mods,2
105,267395441,Bug,1
106,267012961,Bug,2
107,267012961,Crafting / Construction,2
108,266781868,Bug,8
109,266781868,Confirmed,8
110,266633643,Battery,0
111,266633643,Bug,0
112,266633643,Confirmation Needed,0
113,266633643,Inventory / AIM,0
114,266221113,Bug,5
115,266221113,Information / Interface,5
116,265870784,Bug,3
117,265870784,NPC,3
118,265727999,Bug,0
119,265094609,Bug,1
120,265094609,JSON,1
121,265094609,Mapgen,1
122,265084419,Bug,0
123,265084419,Mapgen,0
124,264246784,Bug,11
125,264246784,Vehicle,11
126,264069051,Bug,0
127,264069051,Information / Interface,0
128,264069051,NPC,0
129,263694282,Bug,1
130,263694282,Information / Interface,1
131,263228477,Bug,4
132,263228477,Information / Interface,4
133,261868315,Bug,1
134,261868315,Crafting / Construction,1
135,261868315,Duplicate,1
136,261400946,Bug,4
137,261400946,Crafting / Construction,4
138,259797050,Bug,0
139,259797050,Inventory / AIM,0
140,259318669,Bug,2
141,259318669,Confirmed,2
142,259318669,Duplicate,2
143,259318669,Mapgen,2
144,259318669,Mods,2
145,259278796,Bug,10
146,259278796,Information / Interface,10
147,258115803,Battery,1
148,258115803,Bug,1
149,258115803,Duplicate,1
150,258115803,Vehicle,1
151,257754144,Bug,2
152,257754144,Mapgen,2
153,257453441,Bug,6
154,257453441,Confirmed,6
155,257453441,Duplicate,6
156,257204057,Bug,2
157,257204057,Crafting / Construction,2
158,257106511,Bug,5
159,257106511,Confirmation Needed,5
160,256898905,Bug,0
161,256898905,Gunmod / Toolmod,0
162,256898905,Inventory / AIM,0
163,256688745,Bug,3
164,256688745,Confirmed,3
165,256688745,Crafting / Construction,3
166,256557670,Bug,1
167,256557670,Confirmed,1
168,256557670,Information / Interface,1
169,256137350,Bug,8
170,256137350,Confirmation Needed,8
171,256137350,Spawn,8
172,256069130,Bug,1
173,256069130,NPC,1
174,256069130,Vehicle,1
175,255538330,Bug,0
176,255538330,Z-levels,0
177,255146418,Bug,5
178,255146418,Confirmation Needed,5
179,255146418,Spawn,5
180,255129017,Bug,3
181,255129017,Information / Interface,3
182,255129017,NPC,3
183,254819681,Bug,7
184,254819681,Confirmed,7
185,254787577,Bug,3
186,254787577,Magazine,3
187,254787577,Mods,3
188,254310136,Bug,0
189,254135557,Bug,1
190,254135557,JSON,1
191,254135557,Mapgen,1
192,253257586,Bug,2
193,253257586,Confirmed,2
194,253257586,Information / Interface,2
195,253257586,Inventory / AIM,2
196,253140406,Bug,6
197,253140406,Confirmed,6
198,253140406,Information / Interface,6
199,252155412,Bug,1
200,252155412,Confirmation Needed,1
201,252155412,Spawn,1
202,252063382,Battery,4
203,252063382,Bug,4
204,252063382,Vehicle,4
205,252059900,Bug,3
206,252059900,Confirmed,3
207,252059900,Information / Interface,3
208,251916576,Bug,6
209,251447416,Bug,2
210,251447416,Confirmation Needed,2
211,251395350,Bug,6
212,251395350,Confirmed,6
213,251395350,NPC,6
214,251387889,Bug,3
215,251387889,Crash / Freeze,3
216,251387889,Spawn,3
217,251387363,Bug,6
218,251387363,Confirmation Needed,6
219,251387363,Spawn,6
220,251277741,Balance,2
221,251277741,Bug,2
222,251277741,Confirmation Needed,2
223,251277741,Magazine,2
224,250508657,Bug,2
225,250508657,Confirmation Needed,2
226,250508657,NPC,2
227,249918641,Aiming,8
228,249918641,Balance,8
229,249918641,Bug,8
230,249918641,Code,8
231,249894189,Bug,2
232,249894189,Confirmation Needed,2
233,249871155,Bug,0
234,249871155,Information / Interface,0
235,249861457,Bug,5
236,249861457,Confirmation Needed,5
237,249861457,NPC,5
238,249681336,Bug,1
239,249681336,Inventory / AIM,1
240,249526511,Bug,0
241,249526511,Mods,0
242,249526511,Vehicle,0
243,249027762,Bug,11
244,249027762,Confirmed,11
245,248212564,Aiming,3
246,248212564,Bug,3
247,248212564,Confirmed,3
248,248212564,NPC,3
249,247914880,Bug,2
250,247400201,Bug,2
251,247400201,Vehicle,2
252,246578589,Bug,6
253,246533014,Bug,1
254,246533014,Confirmed,1
255,246533014,Information / Interface,1
256,246533014,NPC,1
257,246002978,Bug,4
258,246002978,Mapgen,4
259,245999453,Bug,2
260,245999453,Tests,2
261,245999453,Translation,2
262,244995633,Bug,3
263,244995633,NPC,3
264,244931608,Bug,2
265,244931608,Confirmation Needed,2
266,244931608,Vehicle,2
267,244851887,Balance,2
268,244851887,Bug,2
269,244851887,Exploit,2
270,244466521,Bug,2
271,244466521,Confirmation Needed,2
272,244466521,NPC,2
273,244466521,Vehicle,2
274,244240528,Bug,11
275,244240528,Confirmed,11
276,244240528,Mission,11
277,243772633,Bug,1
278,243772633,Information / Interface,1
279,243772633,NPC,1
280,243624441,Bug,1
281,243624441,Confirmation Needed,1
282,243548941,Bug,6
283,243548941,Crafting / Construction,6
284,243053881,Bug,15
285,243053881,Build,15
286,242024056,Bug,2
287,242024056,Duplicate,2
288,242024056,NPC,2
289,241610555,Bug,1
290,241610555,Mutations,1
291,241575927,Balance,1
292,241575927,Bug,1
293,241433066,Bug,1
294,241433066,Confirmed,1
295,241433066,Crafting / Construction,1
296,241433066,Vehicle,1
297,240574534,Bug,6
298,240574534,Confirmation Needed,6
299,240574534,Gunmod / Toolmod,6
300,240527613,Bug,5
301,240527613,Easy-fix,5
302,240527613,Gunmod / Toolmod,5
303,240527613,Information / Interface,5
304,240283582,Bug,6
305,240283582,Mechanics Change,6
306,240283582,Other,6
307,239994926,Bug,4
308,239994926,Confirmation Needed,4
309,239994926,Crash / Freeze,4
310,239994926,OSX,4
311,239901005,Bug,0
312,239361940,Aiming,2
313,239361940,Bug,2
314,239361940,Confirmed,2
315,239361940,Information / Interface,2
316,237105825,Bug,6
317,237105825,Build,6
318,237082896,Bug,0
319,237082896,Confirmation Needed,0
320,237082896,Crafting / Construction,0
321,237082896,Gunmod / Toolmod,0
322,236704497,Bug,4
323,236704497,Confirmation Needed,4
324,236704497,JSON,4
325,236700939,Bug,3
326,236700939,Confirmation Needed,3
327,236700939,Mutations,3
328,236666451,Bug,0
329,236666451,Confirmed,0
330,236666451,Information / Interface,0
331,236665783,Battery,6
332,236665783,Bug,6
333,236665783,Gunmod / Toolmod,6
334,236578129,Bionics,5
335,236578129,Bug,5
336,235948648,Aiming,2
337,235948648,Bug,2
338,235948648,Confirmation Needed,2
339,235737885,Bug,1
340,235737885,Confirmation Needed,1
341,235043446,Bug,0
342,235043446,Vehicle,0
343,234789945,Bug,1
344,234789945,Confirmed,1
345,234789945,Information / Interface,1
346,234789945,Inventory / AIM,1
347,234252115,Bug,2
348,234252115,Confirmed,2
349,234252115,Information / Interface,2
350,234180265,Bug,4
351,234180265,Confirmation Needed,4
352,234180265,Information / Interface,4
353,234002209,Bug,5
354,234002209,Confirmation Needed,5
355,234002209,Crash / Freeze,5
356,234002209,NPC,5
357,233504813,Bug,1
358,233504813,Easy-fix,1
359,233504813,JSON,1
360,233470552,Bug,3
361,233470552,Confirmed,3
362,233470552,Inventory / AIM,3
363,233466734,Bug,3
364,233466734,Confirmation Needed,3
365,233466734,NPC,3
366,233373242,Bug,8
367,233373242,Tiles,8
368,233356785,Bug,1
369,233356785,Other,1
370,233115579,Bug,5
371,233115579,Confirmed,5
372,233115579,Information / Interface,5
373,233115579,Inventory / AIM,5
374,232679407,Bug,7
375,232679407,Confirmation Needed,7
376,232679407,Mods,7
377,232679407,NPC,7
378,232637117,Aiming,4
379,232637117,Bug,4
380,232637117,Confirmed,4
381,232476781,Bug,4
382,232476781,Confirmation Needed,4
383,232476781,Vehicle,4
384,232437692,Bug,32
385,232437692,Confirmation Needed,32
386,231872659,Bug,25
387,231872659,Confirmed,25
388,231872659,Mapgen,25
389,231830125,Bug,1
390,231820861,Bug,0
391,231820861,Vehicle,0
392,231390726,Bug,9
393,231390726,Confirmed,9
394,231390726,Mapgen,9
395,231125551,Bug,4
396,231125551,Gunmod / Toolmod,4
397,231125551,Vehicle,4
398,230910996,Aiming,2
399,230910996,Bug,2
400,230591533,Bug,6
401,230591533,Confirmed,6
402,230591533,Mission,6
403,230591533,NPC,6
404,230446904,Bug,2
405,230446904,Information / Interface,2
406,230292946,Bug,10
407,230292946,Information / Interface,10
408,230292946,Vehicle,10
409,230205276,Bug,1
410,230205276,Easy-fix,1
411,230205276,Information / Interface,1
412,230117497,Battery,2
413,230117497,Bug,2
414,230061390,Bug,4
415,230061390,Confirmed,4
416,230061390,Easy-fix,4
417,230061390,JSON,4
418,228577752,Bug,2
419,228577752,Confirmation Needed,2
420,228577752,Mission,2
421,228577752,NPC,2
422,228411910,Bug,11
423,228411910,Confirmed,11
424,228387626,Bug,4
425,228387626,Information / Interface,4
426,228150223,Bug,4
427,228150223,Confirmed,4
428,228150223,Magazine,4
429,227647038,Bug,1
430,227647038,Confirmed,1
431,227647038,Crafting / Construction,1
432,227644087,Bug,0
433,227644087,Information / Interface,0
434,227362816,Bug,2
435,227362816,Confirmed,2
436,227362816,Gunmod / Toolmod,2
437,227112022,Bug,1
438,225421153,Aiming,6
439,225421153,Bug,6
440,225421153,Confirmation Needed,6
441,225365379,Bug,0
442,225365379,Confirmation Needed,0
443,225365379,Information / Interface,0
444,225302652,Bug,1
445,225302652,Information / Interface,1
446,223582756,Bug,3
447,223582756,Crafting / Construction,3
