"date","value"
"1/1/2017",72
"1/8/2017",79
"1/15/2017",67
"1/22/2017",74
"1/29/2017",68
"2/5/2017",75
"2/12/2017",61
"2/19/2017",67
"2/26/2017",95
"3/5/2017",75
"3/12/2017",86
"3/19/2017",98
"3/26/2017",90
"4/2/2017",89
"4/9/2017",87
"4/16/2017",89
"4/23/2017",80
"4/30/2017",70
"5/7/2017",88
"5/14/2017",73
"5/21/2017",79
"5/28/2017",68
"6/4/2017",58
"6/11/2017",47
"6/18/2017",52
"6/25/2017",68
"7/2/2017",57
"7/9/2017",73
"7/16/2017",76
"7/23/2017",83
"7/30/2017",60
"8/6/2017",64
"8/13/2017",68
"8/20/2017",73
"8/27/2017",57
"9/3/2017",75
"9/10/2017",76
"9/17/2017",49
"9/24/2017",69
"10/1/2017",67
"10/8/2017",67
"10/15/2017",79
"10/22/2017",89
"10/29/2017",100
"11/5/2017",98
"11/12/2017",88
"11/19/2017",88
"11/26/2017",62
"12/3/2017",74
"12/10/2017",78
"12/17/2017",71
"12/24/2017",75
"12/31/2017",72
