"date","value"
"1/1/2017",2
"1/8/2017",2
"1/15/2017",1
"1/22/2017",0
"1/29/2017",4
"2/5/2017",1
"2/12/2017",4
"2/19/2017",2
"2/26/2017",3
"3/5/2017",2
"3/12/2017",5
"3/19/2017",5
"3/26/2017",6
"4/2/2017",3
"4/9/2017",3
"4/16/2017",6
"4/23/2017",3
"4/30/2017",3
"5/7/2017",2
"5/14/2017",2
"5/21/2017",4
"5/28/2017",1
"6/4/2017",2
"6/11/2017",3
"6/18/2017",2
"6/25/2017",5
"7/2/2017",1
"7/9/2017",5
"7/16/2017",2
"7/23/2017",3
"7/30/2017",3
"8/6/2017",1
"8/13/2017",2
"8/20/2017",0
"8/27/2017",2
"9/3/2017",1
"9/10/2017",5
"9/17/2017",2
"9/24/2017",5
"10/1/2017",6
"10/8/2017",3
"10/15/2017",4
"10/22/2017",6
"10/29/2017",3
"11/5/2017",3
"11/12/2017",2
"11/19/2017",6
"11/26/2017",2
"12/3/2017",4
"12/10/2017",6
"12/17/2017",4
"12/24/2017",2
"12/31/2017",2
