"date","value"
"1/1/2017",0
"1/8/2017",0
"1/15/2017",0
"1/22/2017",0
"1/29/2017",0
"2/5/2017",0
"2/12/2017",0
"2/19/2017",0
"2/26/2017",1
"3/5/2017",0
"3/12/2017",1
"3/19/2017",0
"3/26/2017",1
"4/2/2017",0
"4/9/2017",0
"4/16/2017",2
"4/23/2017",0
"4/30/2017",0
"5/7/2017",0
"5/14/2017",0
"5/21/2017",1
"5/28/2017",0
"6/4/2017",0
"6/11/2017",0
"6/18/2017",0
"6/25/2017",0
"7/2/2017",0
"7/9/2017",0
"7/16/2017",0
"7/23/2017",0
"7/30/2017",0
"8/6/2017",0
"8/13/2017",0
"8/20/2017",0
"8/27/2017",0
"9/3/2017",0
"9/10/2017",1
"9/17/2017",0
"9/24/2017",0
"10/1/2017",0
"10/8/2017",0
"10/15/2017",1
"10/22/2017",0
"10/29/2017",0
"11/5/2017",1
"11/12/2017",0
"11/19/2017",0
"11/26/2017",0
"12/3/2017",0
"12/10/2017",1
"12/17/2017",0
"12/24/2017",0
"12/31/2017",0
